point ewma,point Taux FAIL,limite Construction,point loi norm sup,point loi norm inf,Dates,Date_comments,the_comments,Arcs
0.02067692287746979,-0.05,2.0,0.8636319387608327,-0.23129527209416634,2020-09-02,,,197
0.006541538301975833,-0.02,2.0,0.8636319387608327,-0.23129527209416634,2020-09-03,,,198
0.0012332306415806663,-0.06,2.0,0.8636319387608327,-0.23129527209416634,2020-09-04,,,199
-0.011013415486735467,0.14,2.0,0.8636319387608327,-0.23129527209416634,2020-09-07,,,200
0.01918926761061163,0.18,2.0,0.8636319387608327,-0.23129527209416634,2020-09-08,,,201
0.051351414088489304,0.02,2.0,0.8636319387608327,-0.23129527209416634,2020-09-09,,,202
0.04508113127079144,0.04,2.0,0.8636319387608327,-0.23129527209416634,2020-09-10,,,203
0.044064905016633155,0.01,2.0,0.8636319387608327,-0.23129527209416634,2020-09-11,,,204
0.03725192401330653,-0.01,2.0,0.8636319387608327,-0.23129527209416634,2020-09-14,,,205
0.027801539210645224,-0.11,2.0,0.8636319387608327,-0.23129527209416634,2020-09-15,,,206
0.00024123136851617738,-0.07,2.0,0.8636319387608327,-0.23129527209416634,2020-09-16,,,207
-0.01380701490518706,-0.05,2.0,0.8636319387608327,-0.23129527209416634,2020-09-17,,,208
-0.02104561192414965,-0.08,2.0,0.8636319387608327,-0.23129527209416634,2020-09-18,,,209
-0.032836489539319724,-0.145,2.0,0.8636319387608327,-0.23129527209416634,2020-09-21,,,210
-0.05526919163145578,-0.28,2.0,0.8636319387608327,-0.23129527209416634,2020-09-22,,,211
-0.10021535330516464,-0.19,2.0,0.8636319387608327,-0.23129527209416634,2020-09-23,,,212
-0.11817228264413172,0.01,2.0,0.8636319387608327,-0.23129527209416634,2020-09-24,,,213
-0.09253782611530538,-0.45,2.0,0.8636319387608327,-0.23129527209416634,2020-09-25,,,214
-0.16403026089224432,-0.06,2.0,0.8636319387608327,-0.23129527209416634,2020-09-28,,,215
-0.14322420871379546,-0.15,2.0,0.8636319387608327,-0.23129527209416634,2020-09-29,,,216
-0.14457936697103638,-0.1,2.0,0.8636319387608327,-0.23129527209416634,2020-09-30,,,217
-0.1356634935768291,-0.25,2.0,0.8636319387608327,-0.23129527209416634,2020-10-01,,,218
-0.1585307948614633,0.03,2.0,0.8636319387608327,-0.23129527209416634,2020-10-02,,,219
-0.12082463588917064,0.15,2.0,0.8636319387608327,-0.23129527209416634,2020-10-05,,,220
-0.06665970871133652,0.12,2.0,0.8636319387608327,-0.23129527209416634,2020-10-06,,,221
-0.029327766969069212,0.17,2.0,0.8636319387608327,-0.23129527209416634,2020-10-07,,,222
0.010537786424744632,0.22,2.0,0.8636319387608327,-0.23129527209416634,2020-10-08,,,223
0.05243022913979571,0.31,2.0,0.8636319387608327,-0.23129527209416634,2020-10-09,,,224
0.10394418331183658,0.42,2.0,0.8636319387608327,-0.23129527209416634,2020-10-12,,,225
0.1671553466494693,0.38,2.0,0.8636319387608327,-0.23129527209416634,2020-10-13,,,226
0.20972427731957546,0.14,2.0,0.8636319387608327,-0.23129527209416634,2020-10-14,,,227
0.19577942185566038,0.18,2.0,0.8636319387608327,-0.23129527209416634,2020-10-15,,,228
0.19262353748452832,0.48,2.0,0.8636319387608327,-0.23129527209416634,2020-10-16,,,229
0.2500988299876227,0.35,2.0,0.8636319387608327,-0.23129527209416634,2020-10-17,,,230
0.2700790639900981,0.26,2.0,0.8636319387608327,-0.23129527209416634,2020-10-19,,,231
0.2680632511920785,0.15,2.0,0.8636319387608327,-0.23129527209416634,2020-10-20,,,232
0.24445060095366283,0.17,2.0,0.8636319387608327,-0.23129527209416634,2020-10-21,,,233
0.22956048076293029,0.21,2.0,0.8636319387608327,-0.23129527209416634,2020-10-22,,,234
0.22564838461034425,0.19,2.0,0.8636319387608327,-0.23129527209416634,2020-10-23,,,235
0.21851870768827542,0.14,2.0,0.8636319387608327,-0.23129527209416634,2020-10-26,,,236
0.20281496615062033,0.26,2.0,0.8636319387608327,-0.23129527209416634,2020-10-27,,,237
0.2142519729204963,0.35,2.0,0.8636319387608327,-0.23129527209416634,2020-10-28,,,238
0.24140157833639703,0.25,2.0,0.8636319387608327,-0.23129527209416634,2020-10-29,,,239
0.24312126266911765,0.26,2.0,0.8636319387608327,-0.23129527209416634,2020-10-30,,,240
0.24649701013529413,0.21,2.0,0.8636319387608327,-0.23129527209416634,2020-11-02,,,241
0.23919760810823532,0.3,2.0,0.8636319387608327,-0.23129527209416634,2020-11-03,,,242
0.25135808648658825,0.41,2.0,0.8636319387608327,-0.23129527209416634,2020-11-04,,,243
0.2830864691892706,0.67,2.0,0.8636319387608327,-0.23129527209416634,2020-11-05,,,244
0.36046917535141654,0.56,2.0,0.8636319387608327,-0.23129527209416634,2020-11-06,,,245
0.4003753402811333,0.25,2.0,0.8636319387608327,-0.23129527209416634,2020-11-09,,,246
0.37030027222490663,0.26,2.0,0.8636319387608327,-0.23129527209416634,2020-11-10,,,247
0.3482402177799253,0.24,2.0,0.8636319387608327,-0.23129527209416634,2020-11-12,,,248
0.32659217422394027,0.29,2.0,0.8636319387608327,-0.23129527209416634,2020-11-13,,,249
0.3192737393791522,0.23,2.0,0.8636319387608327,-0.23129527209416634,2020-11-16,,,250
0.30141899150332174,0.46,2.0,0.8636319387608327,-0.23129527209416634,2020-11-17,,,251
0.33313519320265744,0.37,2.0,0.8636319387608327,-0.23129527209416634,2020-11-18,,,252
0.34050815456212596,0.35,2.0,0.8636319387608327,-0.23129527209416634,2020-11-19,,,253
0.3424065236497008,0.42,2.0,0.8636319387608327,-0.23129527209416634,2020-11-20,,,254
0.3579252189197607,0.44,2.0,0.8636319387608327,-0.23129527209416634,2020-11-23,,,255
